No,Filename,Width,Height,AspectRatio,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,640.jpg,1080,997,1.08,70.5,Near square,650x600,490x600
2,640.png,1080,1030,1.05,104.5,Near square,629x600,511x600
3,640_1.jpg,1080,772,1.40,37.3,Standard landscape,839x600,301x600
4,640_1.png,1080,473,2.28,26.3,Ultra-wide,812x356,328x600
5,640_10.jpg,1080,810,1.33,104.9,Standard landscape,800x600,340x600
6,640_10.png,1080,1350,0.80,1710.5,Portrait,480x600,660x600
7,640_11.jpg,1080,810,1.33,91.3,Standard landscape,800x600,340x600
8,640_11.png,1080,473,2.28,31.9,Ultra-wide,812x356,328x600
9,640_12.jpg,1080,810,1.33,87.0,Standard landscape,800x600,340x600
10,640_12.png,1080,1080,1.00,500.8,Near square,600x600,540x600
11,640_13.jpg,1080,720,1.50,81.5,Standard landscape,812x541,328x600
12,640_13.png,1080,1080,1.00,657.3,Near square,600x600,540x600
13,640_14.jpg,1080,720,1.50,81.5,Standard landscape,812x541,328x600
14,640_14.png,1080,473,2.28,24.6,Ultra-wide,812x356,328x600
15,640_15.jpg,1080,720,1.50,101.4,Standard landscape,812x541,328x600
16,640_15.png,1080,473,2.28,24.0,Ultra-wide,812x356,328x600
17,640_16.jpg,1080,720,1.50,76.2,Standard landscape,812x541,328x600
18,640_16.png,1080,403,2.68,15.3,Ultra-wide,812x303,328x600
19,640_17.jpg,1080,720,1.50,75.3,Standard landscape,812x541,328x600
20,640_17.png,1080,473,2.28,33.6,Ultra-wide,812x356,328x600
21,640_18.jpg,1080,1350,0.80,266.2,Portrait,480x600,660x600
22,640_18.png,1080,393,2.75,20.3,Ultra-wide,1160x422,1160x158
23,640_19.jpg,1080,1350,0.80,167.2,Portrait,480x600,660x600
24,640_19.png,1080,473,2.28,27.4,Ultra-wide,812x356,328x600
25,640_2.jpg,1080,608,1.78,98.1,Wide landscape,812x457,328x600
26,640_2.png,1080,181,5.97,11.0,Ultra-wide,1160x194,1160x386
27,640_20.jpg,1080,1350,0.80,150.4,Portrait,480x600,660x600
28,640_20.png,1080,473,2.28,35.3,Ultra-wide,812x356,328x600
29,640_21.jpg,1080,1350,0.80,164.6,Portrait,480x600,660x600
30,640_21.png,1080,473,2.28,26.3,Ultra-wide,812x356,328x600
31,640_22.jpg,1080,1350,0.80,85.9,Portrait,480x600,660x600
32,640_22.png,1080,473,2.28,28.5,Ultra-wide,812x356,328x600
33,640_23.jpg,1080,1350,0.80,250.6,Portrait,480x600,660x600
34,640_23.png,1080,1440,0.75,1698.3,Portrait,450x600,690x600
35,640_24.jpg,1080,1350,0.80,105.5,Portrait,480x600,660x600
36,640_24.png,1080,1440,0.75,1493.4,Portrait,450x600,690x600
37,640_25.jpg,1080,720,1.50,87.8,Standard landscape,812x541,328x600
38,640_25.png,1080,1440,0.75,2045.8,Portrait,450x600,690x600
39,640_26.jpg,1080,721,1.50,54.8,Standard landscape,812x542,328x600
40,640_26.png,1080,473,2.28,28.1,Ultra-wide,812x356,328x600
41,640_27.jpg,1080,721,1.50,73.5,Standard landscape,812x542,328x600
42,640_27.png,1080,473,2.28,29.0,Ultra-wide,812x356,328x600
